딜ID,회사명,산업,섹터,본사지역,설립연도,임직원수,펀드명,펀드유형,빈티지,담당파트너,딜상태,투자일자,투자금액(억원),지분율(%),매출(억원),EBITDA(억원),EBITDA마진(%),순부채(억원),기업가치EV(억원),진입 EV/EBITDA(x),진입 EV/Revenue(x),보유기간(년),현재평가가치(억원),MOIC(x),Gross IRR(%),회수일자,회수금액(억원),회수방식
DL-00001,한솔시스템,IT/소프트웨어,SaaS,서울,2019,115,그로쓰 3호 PEF,Growth,2022,남기훈,소싱(Sourcing),,,,134,8.0,6.0,14.6,57.9,7.2,0.43,,,,,,,
DL-00002,서연F&B,소비재,리테일,부산,2012,304,그로쓰 1호 PEF,Growth,2016,배준영,회수완료(Exited),2019-11-09,762.0,68.3,301,115.9,38.5,45.1,973.4,8.4,3.23,5.6,,1.85,11.6,2025-06-11,1408.2,Recap/배당
DL-00003,삼정정보기술,IT/소프트웨어,시스템통합,부산,1989,166,벤처그로쓰 1호,Venture,2020,오세훈,스크리닝(Screening),,,,163,24.6,15.1,16.6,142.8,5.8,0.88,,,,,,,
DL-00004,성안유통,물류/유통,도소매유통,서울,1989,1470,벤처그로쓰 1호,Venture,2020,정우성,투자완료(Active),2023-08-03,638.3,75.1,494,150.7,30.5,188.7,994.4,6.6,2.01,2.9,594.9,0.93,-2.4,,,
DL-00005,광림산업,제조/소재,산업기계,충남,2021,1704,스페셜시츄에이션 1호,Special Situation,2018,최예린,소싱(Sourcing),,,,942,262.8,27.9,1081.6,2365.4,9.0,2.51,,,,,,,
DL-00006,서연익스프레스,물류/유통,이커머스,인천,1999,888,스페셜시츄에이션 1호,Special Situation,2018,오세훈,투자심의(IC),,,,387,135.8,35.1,70.6,882.9,6.5,2.28,,,,,,,
DL-00007,정밀랩스,IT/소프트웨어,데이터/AI,해외(싱가포르),1985,854,바이아웃 2호 PEF,Buyout,2021,한승우,회수완료(Exited),2022-08-25,933.2,54.8,552,198.7,36.0,954.6,2484.0,12.5,4.5,3.8,,3.53,39.5,2026-06-10,3295.2,구주매출
DL-00008,중앙바이오,바이오/헬스케어,CRO/CDMO,경남,1997,447,바이아웃 2호 PEF,Buyout,2021,고은채,투자완료(Active),2023-01-14,572.7,90.3,531,125.3,23.6,101.6,626.6,5.0,1.18,3.4,780.6,1.36,9.5,,,
DL-00009,한솔솔루션,IT/소프트웨어,SaaS,충북,2020,332,그로쓰 3호 PEF,Growth,2022,박민재,투자완료(Active),2023-02-16,234.2,77.0,135,35.4,26.2,239.8,516.4,14.6,3.83,3.3,443.3,1.89,21.2,,,
DL-00010,미래이엔지,B2B서비스,MRO,서울,1999,402,벤처그로쓰 1호,Venture,2020,김도현,투자완료(Active),2021-11-07,203.3,25.7,463,138.0,29.8,26.0,772.7,5.6,1.67,4.6,369.5,1.82,13.9,,,
DL-00011,아이엠헬스케어,바이오/헬스케어,CRO/CDMO,서울,1991,307,세컨더리 1호,Secondary,2023,배준영,투자심의(IC),,,,135,26.7,19.8,94.5,259.3,9.7,1.92,,,,,,,
DL-00012,정밀정보기술,IT/소프트웨어,SaaS,경기,2019,624,그로쓰 2호 PEF,Growth,2019,정우성,스크리닝(Screening),,,,352,51.7,14.7,179.2,388.1,7.5,1.1,,,,,,,
DL-00013,대한매니지먼트,B2B서비스,인력아웃소싱,경북,1995,245,그로쓰 2호 PEF,Growth,2019,배준영,회수완료(Exited),2023-05-19,681.6,41.2,305,107.7,35.3,124.1,1507.3,14.0,4.94,3.1,,1.11,3.4,2026-06-10,756.0,구주매출
DL-00014,태광에셋,금융서비스,자산관리,서울,1988,694,그로쓰 1호 PEF,Growth,2016,오세훈,투자완료(Active),2021-09-11,243.9,26.4,606,153.9,25.4,656.3,1539.2,10.0,2.54,4.7,467.6,1.92,14.7,,,
DL-00015,미래푸드,소비재,리테일,서울,2021,1154,그로쓰 1호 PEF,Growth,2016,오세훈,소싱(Sourcing),,,,691,83.6,12.1,121.7,1020.1,12.2,1.48,,,,,,,
DL-00016,코리아로지스틱스,물류/유통,도소매유통,서울,2017,945,그로쓰 2호 PEF,Growth,2019,이서준,투자완료(Active),2024-12-06,224.7,20.6,318,108.8,34.2,399.1,1305.1,12.0,4.1,1.5,234.2,1.04,2.8,,,
DL-00017,미래바이오,바이오/헬스케어,체외진단,광주,1998,1716,그로쓰 3호 PEF,Growth,2022,최예린,실사(DD),,,,615,167.3,27.2,310.5,1271.3,7.6,2.07,,,,,,,
DL-00018,성안테크,제조/소재,자동차부품,충북,1993,441,그로쓰 1호 PEF,Growth,2016,김도현,실사(DD),,,,537,165.9,30.9,372.6,1742.3,10.5,3.24,,,,,,,
DL-00019,가온소프트,IT/소프트웨어,핀테크,경북,2004,550,그로쓰 3호 PEF,Growth,2022,윤지호,소싱(Sourcing),,,,202,57.2,28.3,136.0,485.9,8.5,2.41,,,,,,,
DL-00020,보광제약,바이오/헬스케어,의료기기,해외(싱가포르),2006,974,그로쓰 3호 PEF,Growth,2022,윤지호,소싱(Sourcing),,,,847,240.5,28.4,370.1,2982.8,12.4,3.52,,,,,,,
DL-00021,보광소프트,IT/소프트웨어,데이터/AI,경북,2014,186,바이아웃 1호 PEF,Buyout,2017,정우성,회수완료(Exited),2020-02-16,210.3,89.1,111,39.4,35.5,93.6,283.7,7.2,2.56,3.1,,1.52,14.5,2023-03-10,318.7,구주매출
DL-00022,우진그린텍,에너지/환경,신재생에너지,해외(베트남),2012,366,바이아웃 2호 PEF,Buyout,2021,김도현,소싱(Sourcing),,,,132,26.8,20.3,22.9,396.6,14.8,3.0,,,,,,,
DL-00023,대한유통,소비재,패션/리빙,경기,2006,1609,바이아웃 1호 PEF,Buyout,2017,강태호,투자완료(Active),2020-08-29,391.0,52.2,710,66.7,9.4,236.9,934.4,14.0,1.32,5.8,394.4,1.01,0.2,,,
DL-00024,제이콘텐츠,미디어/콘텐츠,광고/마케팅,경기,2012,2384,그로쓰 1호 PEF,Growth,2016,최예린,실사(DD),,,,1239,202.0,16.3,641.3,1898.4,9.4,1.53,,,,,,,
DL-00025,삼정파마,바이오/헬스케어,제약,대구,2000,1049,벤처그로쓰 1호,Venture,2020,이서준,회수완료(Exited),2024-10-06,282.9,81.5,569,68.3,12.0,43.5,355.1,5.2,0.62,1.7,,2.17,58.7,2026-06-10,613.6,Recap/배당
DL-00026,서연캐피탈,금융서비스,결제,대구,1991,1416,그로쓰 1호 PEF,Growth,2016,배준영,회수완료(Exited),2017-05-12,1445.6,56.5,699,231.4,33.1,644.9,2776.4,12.0,3.97,5.2,,2.02,14.4,2022-08-08,2924.2,재무적매각(Secondary)
DL-00027,광림금융,금융서비스,결제,경기,2013,535,그로쓰 3호 PEF,Growth,2022,남기훈,회수완료(Exited),2023-07-17,410.2,55.2,246,67.2,27.3,222.3,852.9,12.7,3.47,2.8,,1.48,14.9,2026-05-09,606.4,구주매출
DL-00028,신성테크,IT/소프트웨어,핀테크,경기,2011,823,그로쓰 3호 PEF,Growth,2022,남기훈,스크리닝(Screening),,,,295,57.8,19.6,86.2,410.5,7.1,1.39,,,,,,,
DL-00029,정밀테크,제조/소재,철강금속,서울,2011,705,벤처그로쓰 1호,Venture,2020,최예린,투자완료(Active),2022-09-21,425.5,22.3,504,166.3,33.0,568.4,2328.5,14.0,4.62,3.7,820.2,1.93,19.3,,,
DL-00030,중앙제약,바이오/헬스케어,디지털헬스,해외(싱가포르),1986,199,그로쓰 1호 PEF,Growth,2016,윤지호,투자완료(Active),2021-02-05,150.1,46.1,131,46.2,35.3,40.9,314.5,6.8,2.4,5.3,168.5,1.12,2.2,,,
DL-00031,광림엔터,미디어/콘텐츠,엔터테인먼트,경기,1989,1186,그로쓰 1호 PEF,Growth,2016,강태호,스크리닝(Screening),,,,1404,440.9,31.4,637.2,6392.4,14.5,4.55,,,,,,,
DL-00032,신성헬스케어,바이오/헬스케어,의료기기,대구,2008,318,바이아웃 1호 PEF,Buyout,2017,임수빈,투자완료(Active),2018-03-19,100.1,66.3,109,34.0,31.2,85.0,207.4,6.1,1.9,8.2,276.2,2.76,13.1,,,
DL-00033,유진미디어,미디어/콘텐츠,교육,서울,2004,2442,바이아웃 1호 PEF,Buyout,2017,이서준,투자완료(Active),2021-10-21,960.0,72.9,1562,143.7,9.2,832.3,2126.8,14.8,1.36,4.6,1352.0,1.41,7.7,,,
DL-00034,성안게임즈,미디어/콘텐츠,엔터테인먼트,대전,2002,7862,스페셜시츄에이션 1호,Special Situation,2018,박민재,투자완료(Active),2021-08-13,7195.8,88.1,3738,1199.9,32.1,4755.8,11519.0,9.6,3.08,4.8,8126.7,1.13,2.6,,,
DL-00035,한국게임즈,미디어/콘텐츠,엔터테인먼트,경북,2001,147,그로쓰 3호 PEF,Growth,2022,임수빈,스크리닝(Screening),,,,51,15.0,29.5,0.6,117.4,7.8,2.3,,,,,,,
